nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0001780,Peter Stormare,1953,\N,"actor,writer,producer","tt0360486,tt0355295,tt0116282,tt0120591"
nm0001789,Andrei Tarkovsky,1932,1986,"miscellaneous,writer,director","tt0069293,tt0086022,tt0091670,tt0060107"
nm0001794,Henry Thomas,1971,\N,"actor,producer,soundtrack","tt0110322,tt0331811,tt0217505,tt0083866"
nm0001799,John Toll,1952,\N,"cinematographer,camera_department,producer","tt0120863,tt0112573,tt1371111,tt0325710"
nm0001801,Robert Towne,1934,\N,"writer,producer,actor","tt0071315,tt0117060,tt0070290,tt0096244"
nm0001803,Danny Trejo,1944,\N,"actor,producer,soundtrack","tt0116367,tt0985694,tt2002718,tt1424381"
nm0001804,Stanley Tucci,1960,\N,"actor,producer,soundtrack","tt0380510,tt1135503,tt0115678,tt1895587"
nm0001812,Lee Van Cleef,1925,1989,"actor,soundtrack","tt0059578,tt0060196,tt0056217,tt0082340"
nm0001814,Gus Van Sant,1952,\N,"director,producer,actor","tt0102494,tt0842929,tt0097240,tt0363589"
nm0001815,Jim Varney,1949,2000,"actor,writer,soundtrack","tt0230011,tt0092974,tt0114709,tt0095107"
nm0001817,Reginald VelJohnson,1952,\N,"actor,writer,soundtrack","tt0096579,tt0087332,tt0095016,tt0099423"
nm0001825,Andrew Kevin Walker,1964,\N,"writer,actor,producer","tt9561862,tt1136617,tt0114369,tt0162661"
nm0001827,Ray Walston,1914,2001,"actor,soundtrack","tt0070735,tt0083929,tt0064782,tt0081353"
nm0001835,Carl Weathers,1948,\N,"actor,director,soundtrack","tt0075148,tt0116483,tt0089927,tt0093773"
nm0001837,Peter Weir,1944,\N,"director,writer,producer","tt0090329,tt0120382,tt0311113,tt1023114"
nm0001838,Rachel Weisz,1970,\N,"actress,producer,soundtrack","tt3464902,tt0414993,tt0387131,tt0120616"
nm0001845,Forest Whitaker,1961,\N,"actor,producer,director","tt0185183,tt0455590,tt1327773,tt1825683"
nm0001847,Richard Widmark,1914,2008,"actor,producer,soundtrack","tt0071877,tt0053580,tt0055031,tt0039536"
nm0001848,Dianne Wiest,1946,\N,"actress,soundtrack","tt0091167,tt0099487,tt0109348,tt0115685"
nm0001850,Billy Dee Williams,1937,\N,"actor,soundtrack,writer","tt2527338,tt0086190,tt4116284,tt0080684"
nm0001852,Treat Williams,1951,2023,"actor,soundtrack,director","tt0117331,tt0118956,tt0079261,tt0114660"
nm0001859,Shelley Winters,1920,2006,"actress,soundtrack,producer","tt0048424,tt0056193,tt0059573,tt0069113"
nm0001872,Steve Zahn,1967,\N,"actor,soundtrack,producer","tt3450958,tt0462504,tt0318649,tt0206314"
nm0001873,Steven Zaillian,1953,\N,"writer,producer,director","tt0108065,tt1568346,tt1210166,tt0120633"
nm0001877,Hans Zimmer,1957,\N,"music_department,composer,soundtrack","tt0172495,tt1160419,tt1375666,tt0816692"
nm0001880,Edward Zwick,1952,\N,"producer,writer,director","tt0092492,tt0138097,tt0115956,tt0325710"
nm0001884,Max von Sydow,1929,2020,"actor,miscellaneous,soundtrack","tt0181689,tt0050976,tt0080745,tt0477302"
nm0001885,Lars von Trier,1956,\N,"writer,director,producer","tt0276919,tt0168629,tt1527186,tt0870984"
nm0001897,John M. Davis,\N,\N,"music_department,sound_department,composer","tt1210042,tt0395251,tt0118799,tt8721424"
nm0001899,Remi Adefarasin,1948,\N,"cinematographer,camera_department","tt0414055,tt0416320,tt0127536,tt2719848"
nm0001937,Marco Beltrami,1966,\N,"composer,music_department,soundtrack","tt0167190,tt0816711,tt0343818,tt0448011"
nm0001940,Peter Benchley,1940,2006,"writer,producer,actor","tt0077766,tt0073195,tt0093300,tt0085750"
nm0001943,Marisa Berenson,1947,\N,"actress,soundtrack","tt0072684,tt1130984,tt0068327,tt5943392"
nm0001945,Claude Berri,1934,2009,"producer,actor,writer","tt0063771,tt0107002,tt0792965,tt0091288"
nm0001961,Ray Bolger,1904,1987,"actor,soundtrack","tt0032138,tt0044370,tt0054649,tt0045325"
nm0001967,Peter Boyle,1935,2006,"actor,soundtrack","tt0075314,tt0072431,tt0115167,tt0095963"
nm0001971,Ewen Bremner,1972,\N,"actor,producer,soundtrack","tt0117951,tt2763304,tt0451279,tt0370263"
nm0001980,Carter Burwell,1954,\N,"composer,music_department,soundtrack","tt11813216,tt5027774,tt2402927,tt0116282"
nm0001993,Vincent Cassel,1966,\N,"actor,producer,soundtrack","tt0947798,tt0113247,tt0411272,tt1259014"
nm0002000,Leslie Cheung,1956,2003,"actor,music_department,soundtrack","tt0101258,tt0093978,tt0118845,tt0106332"
nm0002005,Agatha Christie,1890,1976,writer,"tt0051201,tt3402236,tt1869347,tt1349600"
nm0002009,Arthur C. Clarke,1917,2008,"writer,actor,art_department","tt0043238,tt0086837,tt0062622,tt0134933"
nm0002011,Lee J. Cobb,1911,1976,"actor,director,soundtrack","tt0053804,tt0050083,tt0047296,tt0059557"
nm0002020,Costa-Gavras,1933,\N,"director,writer,producer","tt0065234,tt0084335,tt0422015,tt0280653"
nm0002021,Noël Coward,1899,1973,"writer,soundtrack,actor","tt0038363,tt0037558,tt0064505,tt0034891"
nm0002030,George Cukor,1899,1983,"director,miscellaneous,assistant_director","tt0058385,tt0032904,tt0050631,tt0036855"
nm0002031,Michael Curtiz,1886,1962,"director,writer,actor","tt0026174,tt0029843,tt0037913,tt0034583"
nm0002034,Jane Darwell,1879,1967,actress,"tt0058331,tt0031381,tt0032551,tt0036244"
nm0002039,Ruby Dee,1922,2014,"actress,soundtrack,writer","tt0055353,tt0113501,tt0097216,tt0765429"
nm0002045,Stanley Donen,1924,2019,"director,miscellaneous,producer","tt0062407,tt0056923,tt0045152,tt0050419"
nm0002057,Richard Edson,1954,\N,"actor,camera_department,writer","tt0108255,tt0097216,tt0114558,tt0091042"
nm0002064,Giancarlo Esposito,1958,\N,"music_department,actor,producer","tt0903747,tt0114814,tt3040964,tt0097216"
nm0002070,Richard Farnsworth,1920,2000,"actor,stunts,soundtrack","tt0087781,tt0166896,tt0088727,tt0100157"
nm0002071,Will Ferrell,1967,\N,"producer,actor,soundtrack","tt0415306,tt1229340,tt0357413,tt0445934"
nm0002075,Peter Finch,1916,1977,"actor,director,writer","tt0067805,tt0074958,tt0054403,tt0061648"
nm0002076,Jason Flemyng,1966,\N,"actor,producer,soundtrack","tt0120735,tt0118956,tt0311429,tt0421715"
nm0002077,Dexter Fletcher,1966,\N,"actor,producer,director","tt0120735,tt1509767,tt0419706,tt1250777"
nm0002078,Frederic Forrest,1936,2023,actor,"tt0078788,tt0071360,tt0106856,tt0079826"
nm0002091,Michael Gambon,1940,\N,"actor,soundtrack,music_department","tt1504320,tt0097108,tt0280707,tt0417741"
nm0002097,Bob Geldof,1951,\N,"soundtrack,actor,composer","tt0437863,tt0120185,tt0120783,tt0084503"
nm0002104,Paulette Goddard,1910,1990,"actress,soundtrack,producer","tt0033722,tt0027977,tt0037849,tt0032520"
nm0002106,Ruth Gordon,1896,1985,"actress,writer,soundtrack","tt0077523,tt0059314,tt0063522,tt0067185"
nm0002110,Rodney A. Grant,1959,\N,"actor,producer","tt0101761,tt0099348,tt0228333,tt0120891"
nm0002120,Lasse Hallström,1946,\N,"director,writer,editor","tt0089606,tt0108550,tt0989757,tt0241303"
nm0002134,Paul Henreid,1908,1992,"director,actor,producer","tt0040444,tt0034583,tt0035140,tt0038108"
nm0002136,Bernard Herrmann,1911,1975,"music_department,soundtrack,composer","tt0075314,tt0053125,tt0052357,tt0054215"
nm0002140,Agnieszka Holland,1948,\N,"director,writer,producer","tt0099776,tt1417075,tt5328350,tt6828390"
nm0002141,Celeste Holm,1917,2012,"actress,soundtrack,miscellaneous","tt0041257,tt0039416,tt0042192,tt0049314"
nm0002144,John Houseman,1902,1988,"actor,producer,writer","tt0073631,tt0073802,tt0070509,tt0080749"
nm0002145,Trevor Howard,1913,1988,actor,"tt0083987,tt0066319,tt0041959,tt0037558"
nm0002146,James Wong Howe,1899,1976,"cinematographer,camera_department,director","tt0025878,tt0048563,tt0057163,tt0060955"
nm0002153,Jack Cardiff,1914,2009,"cinematographer,camera_department,director","tt0039192,tt0043265,tt0049934,tt0054326"
nm0002154,Alfred Abel,1879,1937,"actor,director,miscellaneous","tt0013086,tt0013496,tt0017136,tt0021128"
nm0002160,Moustapha Akkad,1930,2005,"producer,miscellaneous,director","tt0074896,tt0085636,tt0120694,tt0220506"
nm0002162,Henri Alekan,1909,2001,"cinematographer,camera_department,director","tt0046250,tt0093191,tt0084829,tt0038348"
nm0002166,John A. Alonzo,1934,2001,"cinematographer,actor,camera_department","tt0054047,tt0111280,tt0071315,tt0067927"
nm0002185,Malcolm Arnold,1921,2006,"composer,music_department,soundtrack","tt0043650,tt0050212,tt0053318,tt0064072"
nm0002201,John Debney,1956,\N,"composer,music_department,soundtrack","tt1228705,tt1485796,tt3040964,tt0335345"
nm0002202,Roy Webb,1888,1982,"music_department,composer,soundtrack","tt0038787,tt0039689,tt0029947,tt0029284"
nm0002217,Mychael Danna,1958,\N,"composer,music_department,soundtrack","tt0265343,tt0454876,tt0449059,tt1210166"
nm0002231,Gian Maria Volontè,1933,1994,"actor,director,writer","tt0065531,tt0058461,tt0059578,tt0065889"
nm0002233,Erich von Stroheim,1885,1957,"actor,writer,director","tt0043014,tt0028950,tt0009937,tt0019558"
nm0002302,James Bernard,1925,2001,"composer,soundtrack,writer","tt0050280,tt0051554,tt0013442,tt0042949"
nm0002303,Trevor Jones,1949,\N,"composer,music_department,soundtrack","tt0118929,tt0106582,tt0125439,tt0104691"
nm0002331,Stephen Jones,\N,\N,"producer,production_manager","tt1454468,tt7126948,tt0451279,tt0348150"
nm0002332,Stephen Lang,1952,\N,"actor,producer,writer","tt4160708,tt1630029,tt0499549,tt0091474"
nm0002336,Declan Quinn,1957,\N,"cinematographer,camera_department,producer","tt10795574,tt9827834,tt8503618,tt0411195"
nm0002353,Thomas Newman,1955,\N,"music_department,soundtrack,composer","tt0910970,tt8579674,tt1074638,tt1454029"
nm0002354,John Williams,1932,\N,"soundtrack,music_department,composer","tt0073195,tt0076759,tt0078346,tt0107290"
nm0002366,Christopher Young,\N,\N,"composer,music_department,soundtrack","tt0391198,tt0137494,tt1922777,tt0244244"
nm0002369,John Williams,1903,1983,actor,"tt0046912,tt0047437,tt0051201,tt0048728"
nm0002582,Christopher Rouse,1958,\N,"editor,editorial_department,producer","tt0440963,tt1535109,tt0317740,tt0475276"
nm0002653,Joe Johnston,1950,\N,"director,visual_effects,producer","tt0458339,tt0102803,tt0082971,tt0132477"
nm0002657,Gary Ross,1956,\N,"writer,producer,director","tt0329575,tt0094737,tt0120789,tt1392170"
nm0002659,Les Weldon,\N,\N,"producer,writer,actor","tt6189022,tt1959563,tt1320253,tt1206885"
nm0002728,Juan José Campanella,1959,\N,"writer,director,actor","tt8453986,tt1305806,tt1994702,tt0210843"
nm0002747,Mark Sanger,1974,\N,"editor,editorial_department,visual_effects","tt8041270,tt1454468,tt3371366,tt4651466"
nm0002864,Michael Markowitz,1961,\N,"producer,writer,miscellaneous","tt0108755,tt0174378,tt1499658,tt0366034"
nm0002875,Freddie Young,1902,1998,"cinematographer,camera_department,director","tt0059113,tt0062512,tt0066319,tt0056172"
nm0002892,Wally Pfister,1961,\N,"cinematographer,camera_department,director","tt1375666,tt0482571,tt0468569,tt1345836"
nm0002907,Alexander Skarsgård,1976,\N,"actor,producer,director","tt7598448,tt3920596,tt0918940,tt0844441"
nm0002939,Mustafa Presheva,1961,\N,"editor,actor,editorial_department","tt0127311,tt7832124,tt6316138,tt0384116"
nm0002947,Toby Oliver,\N,\N,"cinematographer,camera_department,producer","tt13314558,tt8064302,tt3797512,tt5052448"
nm0003021,Chris McKay,1973,\N,"director,producer,editor","tt9777666,tt11358390,tt1490017,tt4116284"
nm0003031,Caroline Thompson,1956,\N,"writer,producer,director","tt0970411,tt0099487,tt0107688,tt0101272"
nm0003032,Bob Ducsay,\N,\N,"editor,producer,sound_department","tt2527336,tt8946378,tt11564570,tt1276104"
nm0003160,Christopher McQuarrie,1968,\N,"writer,producer,director","tt1631867,tt0114814,tt1745960,tt4912910"
nm0003244,Jordi Mollà,1968,\N,"actor,writer,director","tt1411250,tt3014866,tt0221027,tt0172156"
nm0003298,Scott Rosenberg,1963,\N,"producer,writer,actor","tt0118880,tt0187078,tt7975244,tt0115639"
nm0003394,Lawrence Sher,1970,\N,"cinematographer,camera_department,director","tt0333766,tt1119646,tt7286456,tt3741700"
nm0003408,Chris Marker,1921,2012,"writer,director,editor","tt0114746,tt0084628,tt0056119,tt0054799"
nm0003417,David Arnold,1962,\N,"soundtrack,music_department,composer","tt0381061,tt0116629,tt0120685,tt0143145"
nm0003424,Hank Mann,1887,1971,"actor,director,writer","tt0032553,tt0403878,tt0027977,tt0021749"
nm0003433,Carl Theodor Dreyer,1889,1968,"writer,director,editor","tt0039549,tt0048452,tt0019254,tt0058138"
nm0003446,Jonathan Brown,1970,\N,"cinematographer,camera_department,director","tt3205802,tt14449470,tt0356680,tt9165830"
nm0003506,James Mangold,1963,\N,"producer,director,writer","tt1950186,tt0358273,tt0113280,tt3315342"
nm0003529,Dan Harris,1979,\N,"writer,director,producer","tt0348150,tt0290334,tt4843344,tt0373024"
nm0003542,Philippe Rousselot,1945,\N,"cinematographer,camera_department,director","tt0094947,tt0105265,tt0110148,tt0319061"
nm0003546,Charles Rosher,1885,1974,"cinematographer,camera_department,miscellaneous","tt0039111,tt0042200,tt0044030,tt0018455"
nm0003552,Stephen Goldblatt,1945,\N,"cinematographer,camera_department,director","tt0376541,tt1454029,tt5034266,tt0318997"
nm0003574,Maurice Jarre,1924,2009,"composer,music_department,soundtrack","tt0099653,tt0059113,tt0090329,tt0056172"
nm0003593,Fred Zinnemann,1907,1997,"director,assistant_director,producer","tt0060665,tt0044706,tt0045793,tt0069947"
nm0003607,Nicola Piovani,1946,\N,"composer,soundtrack,music_department","tt0419198,tt0208990,tt0091113,tt0118799"
nm0003638,F.W. Murnau,1888,1931,"director,writer,producer","tt0012973,tt0022458,tt0018455,tt0013442"
nm0003659,Phedon Papamichael,1962,\N,"cinematographer,camera_department,director","tt1821549,tt1070874,tt1950186,tt0358273"
nm0003697,Florian Henckel von Donnersmarck,1973,\N,"director,writer,producer","tt0405094,tt0233589,tt5311542,tt1243957"
nm0003720,David Womark,\N,\N,"producer,assistant_director,production_manager","tt0454876,tt1860357,tt3823392,tt0296572"
nm0003817,Michael Clarke Duncan,1957,2012,"actor,soundtrack,producer","tt0190138,tt0401792,tt0120689,tt0120591"
nm0003836,Michael Powell,1905,1990,"director,writer,producer","tt0040725,tt0044103,tt0054167,tt0038733"
nm0003893,Hughes Winborne,\N,\N,"editor,editorial_department,sound_department","tt0375679,tt1196948,tt1219827,tt2015381"
nm0003911,Brian Tyler,1972,\N,"music_department,composer,soundtrack","tt2395427,tt1300854,tt1059786,tt1217613"
nm0003939,Vikramaditya Motwane,1976,\N,"producer,director,writer","tt0238936,tt3322420,tt1639426,tt1327035"
nm0003946,Marius De Vries,1961,\N,"soundtrack,music_department,composer","tt3783958,tt0203009,tt0117509,tt5697572"
nm0004012,Simon Emanuel,\N,\N,"assistant_director,producer,production_manager","tt1877830,tt3748528,tt5180504,tt1462764"
nm0004056,Andrew Stanton,1965,\N,"writer,actor,producer","tt0910970,tt0120623,tt2277860,tt0266543"
nm0004088,László Kovács,1933,2007,"cinematographer,camera_department,director","tt0065724,tt0064276,tt0075860,tt0087332"
nm0004122,Robert Bolt,1924,1995,"writer,director,actor","tt0060665,tt0059113,tt0056172,tt0091530"
nm0004142,Michael Grady,\N,\N,"cinematographer,camera_department","tt0470705,tt1838544,tt1282140,tt1433108"
nm0004170,Bob Kane,1915,1998,"writer,miscellaneous,art_department","tt0372784,tt0468569,tt12361974,tt0096895"
nm0004195,Gabriel Figueroa,1907,1997,"cinematographer,camera_department,actor","tt0037054,tt0040715,tt0037981,tt0042804"
nm0004229,Adam Greenberg,1937,\N,"cinematographer,camera_department,miscellaneous","tt0103064,tt0088247,tt0120184,tt0099653"
nm0004266,Anne Hathaway,1982,\N,"actress,soundtrack,producer","tt1084950,tt0816692,tt1707386,tt1345836"
nm0004267,Xavier Grobet,1964,\N,"cinematographer,camera_department,actor","tt0247196,tt1121977,tt2381941,tt0457510"
nm0004303,Gavin Hood,1963,\N,"actor,director,producer","tt0468565,tt5431890,tt0178860,tt2057392"
nm0004306,George Miller,1945,\N,"producer,writer,director","tt0082694,tt1392190,tt0079501,tt0366548"
nm0004307,Shane Salerno,1972,\N,"producer,writer,music_department","tt9174536,tt1630029,tt0120591,tt1596753"
nm0004335,Hrithik Roshan,1974,\N,"actor,assistant_director,music_department","tt1562872,tt0254481,tt0449994,tt5460276"
nm0004384,Wojciech Kilar,1932,2013,"composer,soundtrack,music_department","tt0103874,tt0498399,tt0253474,tt0142688"
nm0004412,Ed Solomon,1960,\N,"writer,script_department,producer","tt3110958,tt0096928,tt0304328,tt0119654"
nm0004418,Kajol,1974,\N,"actress,soundtrack","tt0172684,tt1188996,tt0439662,tt0248126"
nm0004423,Gerry Robert Byrne,\N,\N,"production_manager,producer,actor","tt6866266,tt0388795,tt1327773,tt0217505"
nm0004429,Dharmendra,1935,\N,"actor,producer,miscellaneous","tt0073707,tt0099652,tt0070935,tt0233147"
nm0004435,Rajesh Khanna,1942,2012,"actor,music_department,soundtrack","tt0154749,tt0068257,tt0066763,tt0150251"
nm0004453,Arthur Cohn,1927,\N,"producer,production_manager,executive","tt0372824,tt0291003,tt0140888,tt5459382"
nm0004462,Jean-Louis Trintignant,1930,2022,"actor,writer,director","tt0111495,tt0065571,tt0065234,tt1602620"
nm0004486,Bruno Ganz,1941,2019,"actor,director,cinematographer","tt0363163,tt1401152,tt0075675,tt0093191"
nm0004569,Sanjay Dutt,1959,\N,"actor,music_department,producer","tt1849718,tt0294662,tt0456144,tt0374887"
nm0004592,Robert Israel,1963,\N,"composer,music_department,soundtrack","tt0015163,tt0017925,tt0006206,tt0015324"
nm0004626,Kareena Kapoor,1980,\N,"actress,soundtrack,music_department","tt1093370,tt0488414,tt1562871,tt1187043"
nm0004637,Harry Keramidas,1940,\N,"editor,editorial_department,sound_department","tt0096874,tt0113492,tt0088763,tt0118884"
nm0004695,Jessica Alba,1981,\N,"actress,producer,cinematographer","tt0985694,tt0486576,tt0401792,tt0120667"
nm0004715,Will Arnett,1970,\N,"actor,producer,writer","tt0367279,tt4116284,tt1490017,tt3949660"
nm0004716,Darren Aronofsky,1969,\N,"producer,writer,director","tt0138704,tt1125849,tt0414993,tt0180093"
nm0004744,Lawrence Bender,1957,\N,"producer,camera_department,actor","tt0266697,tt0361748,tt0110912,tt0105236"
nm0004747,Wes Bentley,1978,\N,"actor,producer,soundtrack","tt0816692,tt1392170,tt0169547,tt0804516"
nm0004754,Jessica Biel,1982,\N,"actress,producer,soundtrack","tt0443543,tt1386703,tt0324216,tt0435705"
nm0004755,Jason Biggs,1978,\N,"actor,producer","tt1605630,tt0252866,tt0217630,tt0163651"
nm0004778,Adrien Brody,1973,\N,"actor,producer,soundtrack","tt1605783,tt1683526,tt0253474,tt2278388"
nm0004789,Amanda Bynes,1986,\N,"actress,soundtrack,writer","tt0286788,tt0454945,tt1282140,tt0427327"
nm0004798,Stephen J. Cannell,1941,2010,"writer,producer,actor","tt0071042,tt0080289,tt0081871,tt0092484"
nm0004799,Mark Canton,1949,\N,"producer,production_manager,miscellaneous","tt1253864,tt0416449,tt3281796,tt1259528"
nm0004802,Linda Cardellini,1975,\N,"actress,producer,soundtrack","tt0267913,tt0388795,tt2395427,tt4913966"
nm0004851,Penélope Cruz,1974,\N,"actress,soundtrack,producer","tt0259711,tt0441909,tt1298650,tt0497465"
nm0004874,Vin Diesel,1967,\N,"producer,actor,director","tt0232500,tt2015381,tt0295701,tt2820852"
nm0004906,Peter Facinelli,1973,\N,"actor,director,producer","tt1190689,tt1324999,tt4016454,tt9794630"
nm0004927,Beau Flynn,1970,\N,"producer,miscellaneous,executive","tt0180093,tt2231461,tt2126355,tt1397514"
nm0004936,Ben Foster,1980,\N,"actor,producer,soundtrack","tt0381849,tt3892172,tt2582782,tt0790712"
nm0004937,Jamie Foxx,1967,\N,"actor,producer,writer","tt0443489,tt0369339,tt1853728,tt0350258"
nm0004950,Jennifer Garner,1972,\N,"actress,producer,soundtrack","tt0337563,tt0287978,tt0467406,tt0285333"
nm0004951,Brad Garrett,1960,\N,"actor,producer,writer","tt4575576,tt0398286,tt0266543,tt0115167"
nm0004976,Brian Grazer,1951,\N,"producer,actor,writer","tt0088161,tt0112384,tt0268978,tt0367279"
nm0004989,Alyson Hannigan,1974,\N,"actress,producer,soundtrack","tt0163651,tt0460649,tt0118276,tt1605630"
nm0005009,Laura Harring,1964,\N,actress,"tt0330793,tt0484740,tt0166924"
nm0005023,Djimon Hounsou,1964,\N,"actor,producer,director","tt2015381,tt0118607,tt0450259,tt0298845"
nm0005024,Terrence Howard,1969,\N,"actor,soundtrack,producer","tt0410097,tt0371746,tt0430105,tt0375679"
nm0005028,Kate Hudson,1979,\N,"actress,soundtrack,producer","tt0251127,tt0181875,tt0770752,tt0901476"
nm0005036,Gale Anne Hurd,1955,\N,"producer,writer,miscellaneous","tt0120591,tt1340138,tt0090605,tt0088247"
nm0005049,Allison Janney,1959,\N,"actress,soundtrack,producer","tt1454029,tt5580036,tt0274558,tt0467406"
nm0005064,January Jones,1978,\N,"actress,soundtrack","tt1270798,tt0338096,tt0804503,tt1401152"
nm0005068,Vinnie Jones,1965,\N,"actor,soundtrack,producer","tt0208092,tt0120735,tt0805570,tt0376994"
nm0005069,Spike Jonze,1969,\N,"producer,writer,director","tt0386117,tt0120601,tt0120188,tt1798709"
nm0005086,Kathleen Kennedy,1953,\N,"producer,miscellaneous,executive","tt0107290,tt0083866,tt0421715,tt0286106"
nm0005098,Chris Klein,1979,\N,"actor,soundtrack,producer","tt0163651,tt0277434,tt0126886,tt0433400"
nm0005109,Mila Kunis,1983,\N,"actress,producer,soundtrack","tt0800039,tt0947798,tt1617661,tt4651520"
nm0005110,Ashton Kutcher,1978,\N,"actor,producer,writer","tt0391304,tt0165598,tt0305711,tt1103153"
nm0005124,John Lasseter,1957,\N,"producer,writer,director","tt0120363,tt0317219,tt0114709,tt0120623"
nm0005132,Heath Ledger,1979,2008,"actor,director,soundtrack","tt0147800,tt0183790,tt0388795,tt0468569"
nm0005134,Jason Lee,1970,\N,"actor,producer,soundtrack","tt0118842,tt0460091,tt0259711,tt0181875"
nm0005139,Mike Leigh,1943,\N,"director,writer,miscellaneous","tt0383694,tt0117589,tt1045670,tt0107653"
nm0005171,Angus Macfadyen,1963,\N,"actor,writer,director","tt0112573,tt0238380,tt0489270,tt1389137"
nm0005188,James Marsden,1973,\N,"actor,soundtrack","tt0120903,tt0988595,tt0461770,tt0427327"
nm0005197,Des McAnuff,1952,\N,"miscellaneous,director,producer","tt0180073,tt3383040,tt1683003,tt0129167"
nm0005212,Ian McKellen,1939,\N,"actor,soundtrack,writer","tt0120737,tt0120684,tt0167261,tt0167260"
nm0005216,Janet McTeer,1961,\N,"actress,writer,producer","tt1602098,tt0161023,tt3410834,tt2674426"
nm0005219,Mike Medavoy,1941,\N,"producer,actor,executive","tt0482546,tt0947798,tt1130884,tt0443706"
nm0005222,Sam Mendes,1965,\N,"producer,director,miscellaneous","tt0959337,tt1074638,tt0257044,tt8579674"
nm0005244,Fernanda Montenegro,1929,\N,"actress,soundtrack","tt0144043,tt6390668,tt0140888,tt0402417"
nm0005251,Carrie-Anne Moss,1967,\N,"actress,producer","tt0242653,tt0133093,tt0209144,tt0457572"
nm0005253,Elisabeth Moss,1982,\N,"actress,producer,director","tt5834204,tt2756032,tt6857112,tt1051906"
nm0005266,Craig T. Nelson,1944,\N,"actor,producer,director","tt0356680,tt0096560,tt0317705,tt0084516"
nm0005271,Randy Newman,1943,\N,"music_artist,soundtrack,music_department","tt0780521,tt0312172,tt0114709,tt0435761"
nm0005278,Jerry O'Connell,1974,\N,"actor,producer,director","tt0257568,tt0120082,tt0112167,tt0092005"
nm0005286,Haley Joel Osment,1988,\N,"actor,soundtrack,producer","tt0167404,tt0223897,tt0212720,tt0327137"
nm0005299,Sarah Paulson,1974,\N,"actress,producer,soundtrack","tt2024544,tt8633478,tt1844624,tt6823368"
nm0005304,Michael Penn,1958,\N,"composer,soundtrack,music_department","tt0119256,tt1723816,tt0862846,tt0118749"
nm0005351,Ryan Reynolds,1976,\N,"actor,producer,writer","tt5463162,tt6264654,tt1431045,tt1462758"
nm0005363,Guy Ritchie,1968,\N,"writer,director,producer","tt0120735,tt0208092,tt0988045,tt6139732"
nm0005377,Sam Rockwell,1968,\N,"actor,producer,soundtrack","tt1182345,tt5027774,tt0270288,tt1931533"
nm0005380,Ray Romano,1957,\N,"actor,writer,producer","tt0115167,tt0268380,tt5462602,tt1302006"
nm0005387,Joe Roth,1948,\N,"producer,director,miscellaneous","tt0314353,tt1587310,tt0427309,tt0356618"
nm0005392,Keri Russell,1976,\N,"actress,producer,soundtrack","tt0317919,tt0134247,tt2103281,tt0473308"
nm0005403,Jason Schwartzman,1980,\N,"actor,soundtrack,music_department","tt0128445,tt1748122,tt0838221,tt2140373"
nm0005405,Seann William Scott,1976,\N,"actor,producer,soundtrack","tt0252866,tt0163651,tt0328828,tt0377818"
nm0005417,Lin Shaye,1943,\N,"actress,producer,soundtrack","tt0129387,tt0308152,tt3195644,tt1591095"
nm0005428,Joel Silver,1952,\N,"producer,actor,miscellaneous","tt3799694,tt5444294,tt0133093,tt0095016"
nm0005458,Jason Statham,1967,\N,"actor,producer,stunts","tt0479884,tt2820852,tt4779682,tt3079380"
nm0005460,Mary Steenburgen,1953,\N,"actress,soundtrack,producer","tt1204975,tt0080025,tt0838283,tt0099088"
nm0005466,Julia Stiles,1981,\N,"actress,producer,director","tt1045658,tt0147800,tt0206275,tt0337697"
nm0005476,Hilary Swank,1974,\N,"actress,producer,soundtrack","tt2398231,tt0405159,tt0431308,tt0171804"
nm0005493,Justin Timberlake,1981,\N,"music_artist,soundtrack,actor","tt2042568,tt1637688,tt1285016,tt1679335"
nm0005494,Steve Tisch,1949,\N,"producer,actor,miscellaneous","tt0119925,tt11003218,tt0814314,tt0109830"
nm0005509,Jon Turteltaub,1963,\N,"producer,director,writer","tt0114924,tt0117333,tt0368891,tt0106611"
nm0005513,Alanna Ubach,1975,\N,"actress,soundtrack,producer","tt2817246,tt8772296,tt6394270,tt2380307"
nm0005541,Marlon Wayans,1972,\N,"actor,writer,producer","tt0116126,tt0381707,tt1046173,tt0430304"
nm0005549,Haskell Wexler,1922,2015,"cinematographer,camera_department,director","tt0061811,tt0064652,tt0061184,tt0073486"
nm0005562,Owen Wilson,1968,\N,"actor,producer,writer","tt0396269,tt0115734,tt0265666,tt0335438"
nm0005563,Irwin Winkler,1931,\N,"producer,writer,director","tt0264796,tt3076658,tt0075148,tt0099685"
nm0005573,Richard D. Zanuck,1934,2012,"producer,miscellaneous,production_manager","tt0088933,tt0097239,tt0073195,tt0120647"
nm0005592,Chris Castaldi,\N,\N,"assistant_director,miscellaneous,producer","tt1291150,tt4154796,tt0770828,tt0371746"
nm0005631,José F. Aguayo,1911,1999,"cinematographer,camera_department","tt0066491,tt0052429,tt0042467,tt0039153"
nm0005633,John Alcott,1930,1986,"camera_department,cinematographer","tt0093640,tt0066921,tt0072684,tt0062622"
nm0005636,Thierry Arbogast,1957,\N,"cinematographer,camera_department","tt0110413,tt0100263,tt0119116,tt0228786"
nm0005655,Renato Berta,1945,\N,"cinematographer,camera_department,director","tt9526392,tt0092593,tt0105908,tt11012320"
