tconst,directors,writers
tt1104001,nm2676052,"nm0457736,nm0395271,nm0460206,nm1600872,nm0513974,nm0531381"
tt11083552,nm0005363,"nm0099398,nm0078704,nm0005363,nm6842463,nm3044095"
tt11138512,nm3211470,"nm0797604,nm3211470"
tt1120985,nm0161834,"nm0161834,nm0193387,nm2337556"
tt1124035,nm0000123,"nm0000123,nm0381416,nm2802722"
tt11286314,nm0570912,"nm0570912,nm1998503"
tt1130884,nm0000217,"nm0436164,nm1212331"
tt1133985,nm0132709,"nm0075528,nm0338169,nm0973233,nm0325533"
tt1155076,nm0958969,"nm0614050,nm0436543"
tt11564570,nm0426059,nm0426059
tt1160419,nm0898288,"nm3123612,nm0898288,nm0744839,nm0378541"
tt1170358,nm0001392,"nm0909638,nm0101991,nm0001392,nm0868219,nm0866058"
tt1171701,nm2896395,"nm2895699,nm2887012,nm2896395"
tt1179933,nm0870469,"nm1061091,nm1173295,nm3227090"
tt11813216,nm1732981,nm1732981
tt11866324,nm0870469,"nm1725034,nm0870469,nm0859029,nm0859049"
tt1187043,nm0386246,"nm0430785,nm0386246,nm0006765,nm2746459"
tt1189340,nm1026778,"nm0738908,nm0175093"
tt1192628,nm0893659,"nm0517589,nm0893659,nm0126096"
tt1194173,nm0006904,"nm0006904,nm0319659,nm0524924"
tt1201607,nm0946734,"nm0460141,nm0746830"
tt1205489,nm0000142,"nm1010405,nm3164738"
tt1210166,nm0587955,"nm0001873,nm0815070,nm3133181,nm1034122"
tt1210819,nm0893659,"nm1244808,nm0254645,nm0744429"
tt1211837,nm0220600,"nm3123612,nm0220600,nm1803036,nm0498278,nm0228492"
tt1211956,nm0405632,"nm1974016,nm0445669"
tt1212450,nm0384825,"nm0147022,nm2967574"
tt1213641,nm3227090,"nm1802857,nm2973253"
tt1213663,nm0942367,"nm0670408,nm0942367"
tt1216475,"nm0005124,nm0506977","nm0005124,nm0506977,nm1557594,nm0703078"
tt1217209,"nm0028764,nm0152312,nm0700760","nm0152312,nm0028764,nm0700760,nm0575293"
tt1219289,nm1139726,"nm0228908,nm2982186"
tt1219827,nm2782185,"nm0794385,nm1150145,nm0923980,nm0472567"
tt1220719,nm0948159,"nm2774833,nm5335213"
tt1228705,nm0269463,"nm0857620,nm0498278,nm1411347,nm1293367,nm0456158"
tt1229238,nm0083348,"nm0312367,nm0032227,nm0625858"
tt1231583,nm0680846,"nm0169180,nm0293139,nm1186373,nm0680846"
tt1232829,"nm0520488,nm0588087","nm0045209,nm1706767,nm0367895,nm0004798"
tt1234721,nm0655683,"nm2440587,nm0627159,nm0591160"
tt12361178,nm2572228,nm2572228
tt12361974,nm0811583,"nm0796950,nm0795975,nm0811583,nm0006516,nm3263825,nm1189346,nm0004170,nm0277730,nm0551376,nm0456158"
tt1243957,nm0003697,"nm0003697,nm0003160,nm0271501,nm1362432"
tt1245492,"nm1698571,nm0736622","nm0736622,nm1698571,nm1083540"
tt1245526,nm0777881,"nm0388377,nm0388375,nm1979137,nm1216642"
tt1250777,nm0891216,"nm0963359,nm0891216,nm2092839,nm1348210"
tt1253863,nm1729171,"nm0811583,nm0426500,nm0588340"
tt1255953,nm0898288,"nm0898288,nm1416431,nm4034068"
tt12593682,nm0500610,"nm5599654,nm2157655"
tt1259521,nm1206844,"nm0923736,nm1206844"
tt1270797,nm0281508,"nm0684374,nm0003298,nm0545150,nm0568825,nm2163440"
tt1270798,nm0891216,"nm1005420,nm0826714,nm0963359,nm0891216,nm1417242,nm0001741,nm0456158,nm0498278"
tt1272878,nm0466349,"nm1398578,nm1556427"
tt1276104,nm0426059,nm0426059
tt1280558,nm3109770,nm3109770
tt1282140,nm0323239,nm1421629
tt1284575,nm0440458,"nm1969144,nm1072409"
tt1285016,nm0000399,"nm0815070,nm0583826"
tt1289401,nm0082450,"nm1767754,nm0082450,nm0718645,nm0000101,nm0000601"
tt1291150,nm0509448,"nm0032227,nm0625858,nm2489193,nm0481990,nm0247653"
tt1291584,nm0640334,"nm0640334,nm3294574,nm0233561"
tt1298650,nm0551128,"nm0254645,nm0744429,nm0064181,nm0938684,nm0694627"
tt1300854,nm0000948,"nm1510800,nm0000948,nm0498278,nm1411347,nm1293367,nm0456158,nm1979137,nm2137463"
tt1302006,nm0000217,"nm0001873,nm3153307"
tt1302011,nm0950775,"nm0008743,nm0074184,nm0717550,nm0903456"
tt1305806,nm0002728,"nm3160078,nm0002728"
tt1306980,nm1349522,nm1672425
tt1318514,nm1012501,"nm0415425,nm0798646,nm0099541"
tt1320253,nm0000230,"nm1709264,nm0000230"
tt1321870,nm0281508,"nm3263825,nm4624299"
tt1323594,"nm0719208,nm1853544","nm0666791,nm0202425,nm0655053"
tt13238346,nm10227660,nm10227660
tt1324999,nm0174374,"nm0742279,nm2769412"
tt1325004,nm1720541,"nm0742279,nm2769412"
tt1340138,nm0851930,"nm0436164,nm0527261,nm0000116,nm0005036"
tt1340800,nm0019247,"nm0494170,nm2091799,nm1661186"
tt1343092,nm0525303,"nm0525303,nm0668902,nm0280234"
tt1343727,nm0871428,"nm0905957,nm0264338,nm0307497"
tt1345836,nm0634240,"nm0634300,nm0634240,nm0275286,nm0004170"
tt1355644,nm0878763,nm3123612
tt1365519,nm1012385,"nm4039044,nm3322414,nm2489193,nm1897248,nm2824501"
tt1371111,"nm0878756,nm0905154,nm0905152","nm3290967,nm0905154,nm0878756,nm0905152,nm4339295"
tt1375666,nm0634240,nm0634240
tt1375670,nm0240797,"nm0001191,nm0937748"
tt1385826,nm1079776,"nm1079776,nm0001140"
tt1386588,nm0570912,"nm0570912,nm0376260"
tt1386697,nm0043742,"nm0043742,nm1694619"
tt1386703,nm0936482,"nm0934483,nm0093560,nm0795953,nm0639321,nm0693956,nm0325778"
tt1392170,nm0002657,"nm0002657,nm1056741,nm0712753"
tt1392190,nm0004306,"nm0004306,nm0565068,nm0490147"
tt1392214,nm0898288,nm3360706
tt1396484,nm0615592,"nm1286060,nm1560977,nm2477891,nm0000175"
tt1397280,nm0576298,"nm0000108,nm0436543"
tt1398426,nm0336620,"nm0767655,nm0921023,nm0075696,nm6707680"
tt1399103,nm0000881,nm0472567
tt1401152,nm1429471,"nm0124700,nm0180508,nm0885857"
tt1403865,"nm0001053,nm0001054","nm0001054,nm0001053,nm0692427"
tt1408101,nm0009190,"nm0649460,nm0476064,nm0511541,nm0734472"
tt1409024,nm0001756,"nm1000113,nm0192384"
tt1411238,nm0718645,"nm2057975,nm0759986"
tt1411697,nm0680846,"nm0563301,nm0035905,nm0680846,nm0524190,nm0601859"
tt1424381,nm0030735,"nm0514821,nm3360218,nm0859029,nm0859049"
tt1428538,nm2482088,"nm2482088,nm0342278,nm0342303"
tt1430132,nm0003506,"nm0093560,nm0291082"
tt1431045,nm1783265,"nm1014201,nm1116660"
tt1436562,nm0757858,"nm0757858,nm0427993,nm5333675,nm0722610,nm0827985,nm0893262,nm0363958"
tt1440129,nm0000916,"nm0388377,nm0388375"
tt1446714,nm0000631,"nm3123612,nm0511541,nm0639321,nm0795953"
tt1453405,nm0768959,"nm0768959,nm0314870,nm0047916"
tt1454029,nm0853238,"nm0853238,nm3543826"
tt1454468,nm0190859,"nm0190859,nm0190861"
tt1457767,nm1490123,"nm0370937,nm0370928"
tt1458175,nm0353673,"nm0353673,nm0146991,nm3280198"
tt1464335,nm0281508,"nm1988994,nm1436466,nm0391344,nm2616125,nm4731086"
tt1464540,nm0142286,"nm0332184,nm0587692,nm0637497,nm3787416,nm0294580"
tt1469304,nm1164861,"nm0075276,nm0777209,nm0093748,nm0771065,nm0740115,nm0502073,nm0304830,nm1226735,nm1226737"
tt1477834,nm1490123,"nm0424901,nm3263825,nm0424315,nm1490123,nm3542504,nm0918816"
tt1478338,nm0082450,"nm1325419,nm1754239"
tt1483013,nm2676052,"nm2244980,nm1578335,nm2676052"
tt1485796,nm1243905,"nm0081081,nm0174374"
tt1489889,nm1098493,"nm0054697,nm2811682,nm1098493"
tt1490017,"nm0520488,nm0588087","nm0520488,nm0588087,nm1087952,nm1156984,nm9204083,nm9204084,nm9204085"
tt1499658,nm1164861,"nm0002864,nm0197855,nm0326246"
tt1504320,nm0393799,nm0782436
tt15097216,nm4377096,"nm4377096,nm13222819"
tt1515091,nm0005363,"nm1802251,nm0612487,nm0236279"
tt1517268,nm1950086,"nm1950086,nm0000876"
tt1517451,nm0177896,"nm0744839,nm0177896,nm3391497,nm0366454,nm0242869,nm0225820,nm0682757,nm0920074,nm0308604"
tt15327088,nm6142895,"nm14127654,nm9650707,nm9924848,nm8833077,nm6142895,nm8918477"
tt1535108,nm0088955,nm0088955
tt1535109,nm0339030,"nm0712753,nm3697679,nm5643170"
tt15398776,nm0634240,"nm0634240,nm3284831,nm2452558"
tt1542344,nm0000965,"nm0000965,nm0064479,nm1737008"
tt15501640,nm2391751,"nm2572228,nm6748282,nm2391751"
tt1555149,nm0655683,"nm0655683,nm1284081,nm1130251"
tt1562872,nm0015295,"nm1027719,nm1030373,nm0015295,nm10360928"
tt1564367,nm0240797,"nm1615610,nm0000251,nm0224634,nm0123242,nm0054667,nm0344899"
tt1568346,nm0000399,"nm0001873,nm2297183"
tt1570728,"nm0275629,nm0720135",nm1557594
tt1587310,nm0834902,"nm0941314,nm0674518,nm0052520,nm0382548,nm0670328,nm0672093,nm0727370,nm0780799,nm0942723"
tt1588173,nm1349522,"nm3772853,nm1349522"
tt1591095,nm1490123,nm1191481
tt1596343,nm0510912,"nm0604555,nm0860155"
tt1596363,nm0570912,"nm1017488,nm0570912,nm1034122"
tt1598778,nm0001752,nm1994243
tt1599348,nm1174251,nm1638756
tt1601913,nm0138620,"nm0138620,nm2259451"
tt1605630,"nm1375358,nm1376383","nm1375358,nm1376383,nm0381221"
tt1605783,nm0000095,nm0000095
tt1606378,nm0601382,"nm0940790,nm0861636"
tt1606389,nm1302591,"nm0463359,nm0799050,nm0441300,nm1213974"
tt1620933,nm0223606,"nm1538581,nm0223606"
tt1623205,nm0000600,"nm0438449,nm1865755,nm0000875"
tt1630029,nm0000116,"nm0000116,nm0415425,nm0798646,nm0295264,nm0004307"
tt1631867,nm0510731,"nm0003160,nm0125336,nm3890871,nm3872326"
tt1632708,nm0323239,"nm2226647,nm2226970,nm0323239,nm0679037"
tt1636826,nm1294036,"nm0236966,nm0045209"
tt1637688,nm0629272,nm0629272
tt1637725,nm0532235,"nm0532235,nm1273148,nm1273397"
tt1638355,nm0005363,"nm0005363,nm0927880,nm0458566,nm0933276,nm0738222"
tt1639426,nm0003939,"nm0003939,nm0440604,nm3060590,nm4392112"
tt1645170,nm0153078,"nm0056187,nm0073688,nm0541635,nm0769840"
tt1646971,nm0213450,"nm0213450,nm2441763"
tt1649418,"nm0751577,nm0751648","nm0751648,nm1321655,nm1321656,nm3892675"
tt1649419,nm1291105,"nm1037221,nm5377442"
tt1650062,nm0009190,nm0009190
tt1650554,nm0905592,"nm0905592,nm2092839,nm1348210"
tt1655442,nm0371890,nm0371890
tt1659337,nm0154716,nm0154716
tt1663202,nm0327944,"nm1872664,nm0327944,nm3488559"
tt1663662,nm0868219,"nm2012438,nm0868219"
tt1667889,"nm0553942,nm0862211","nm0073850,nm0297229,nm1000858"
tt1670345,nm0504642,"nm0004412,nm0945026,nm3242689"
tt1673434,nm0174374,"nm2769412,nm0742279"
tt1675434,"nm0619923,nm0865918","nm0619923,nm0865918,nm4778840"
tt1677720,nm0000229,"nm0672015,nm2094392"
tt1690953,"nm1853544,nm0719208","nm0666791,nm0202425"
tt1700841,"nm0970447,nm0862911","nm3773434,nm3782043,nm0736622,nm1698571,nm1706767"
tt1706593,nm2503633,"nm0484840,nm2503633"
tt1706620,nm0094435,"nm2441468,nm0499429,nm2440893,nm0094435,nm1031176"
tt1707386,nm0393799,"nm0629933,nm0098842,nm0774744,nm0471014,nm0401076"
tt1723121,nm1098493,"nm1462097,nm0264520,nm1890845,nm1898234"
tt1723811,nm2588606,"nm2588606,nm0604448"
tt1727824,nm0001741,"nm0565026,nm0604948"
tt1731141,nm0004303,"nm0004303,nm0136298"
tt1735898,nm2782185,"nm2489193,nm0359387,nm0024925"
tt1745960,nm2676052,"nm0143596,nm0258390,nm0185976,nm1098479,nm0472567,nm2545235,nm0003160"
tt1748122,nm0027572,"nm0027572,nm0178910"
tt1764651,nm0922346,"nm0921013,nm0000230,nm0442190,nm0013234,nm1709264"
tt1772341,nm0601781,"nm0601781,nm1601882,nm0714114,nm1601644"
tt1790809,"nm1461392,nm1650283","nm0622288,nm0744429,nm0254645,nm0064181,nm0938684"
tt1790864,nm1226871,"nm3834300,nm2233127,nm2385905,nm4212895"
tt1790885,nm0000941,nm1676793
tt1798684,nm0298807,nm1176676
tt1798709,nm0005069,nm0005069
tt1800241,nm0751102,"nm2545235,nm0751102"
tt1815862,nm0796117,"nm1729428,nm0796117,nm0000226"
tt1817273,nm0161834,"nm0161834,nm1397579,nm2942187"
tt1821480,nm1223910,"nm1223910,nm4298729,nm1330994,nm1937760,nm1399188,nm4449370"
tt1823672,nm0088955,"nm0088955,nm2833612"
tt1825683,nm3363032,"nm3363032,nm1963288,nm0498278,nm0456158"
tt1832382,nm1410815,nm1410815
tt1840309,nm1139726,"nm2489193,nm0961827,nm4316121"
tt1843866,"nm0751577,nm0751648","nm1321655,nm1321656,nm0800209,nm0456158,nm1591737,nm3090268,nm6624843"
tt1853728,nm0000233,nm0000233
tt1855199,nm0043742,nm0043742
tt1856101,nm0898288,"nm0266684,nm0338169,nm0001140"
tt1865505,nm1119079,"nm3822528,nm1119079"
tt1872181,nm1989536,"nm0476064,nm0649460,nm0684374,nm0888743,nm0498278,nm0228492"
tt1872194,nm0229694,"nm1010405,nm4057793,nm0229694"
tt1877830,nm0716257,"nm0716257,nm0185976,nm0004170,nm0277730"
tt1877832,nm0001741,"nm1334526,nm0963359,nm0891216,nm0456158,nm0498278"
tt1895587,nm0565336,"nm1802857,nm0565336"
tt1899353,nm2153088,nm2153088
tt1905041,nm0510912,"nm0604555,nm0860155"
tt1907668,nm0000709,nm0309691
tt1922777,nm0220600,"nm0220600,nm1803036"
tt1931533,nm1732981,nm1732981
tt1950186,nm0003506,"nm0125336,nm3890871,nm0445669"
tt1951261,nm0680846,"nm0680846,nm0563301,nm0524190,nm0601859"
tt1951264,nm1349376,"nm0064479,nm1578335,nm1056741"
tt1951265,nm1349376,"nm0185976,nm0834960,nm1056741"
tt1951266,nm1349376,"nm0185976,nm0834960,nm1056741"
tt1954470,nm0440604,"nm4556524,nm0440604,nm4556473,nm5113220"
tt1959490,nm0004716,"nm0004716,nm0359504"
tt1959563,nm0400850,nm4468296
tt1972591,nm0005363,"nm1703612,nm0005363,nm0927880,nm0229694"
tt1979320,nm0000165,nm0604948
tt1979376,nm2155757,"nm0005124,nm0004056,nm2155757,nm1445746,nm0429069,nm0566489,nm0405271,nm5403126"
tt1980209,nm0000881,"nm1321655,nm1321656,nm2431017"
tt1981115,nm0851930,"nm1236653,nm1321655,nm1321656,nm0668309,nm0734441,nm0498278,nm1293367,nm0456158,nm1277476"
tt1981677,nm0601337,"nm0134224,nm3015467"
tt2004420,nm0831557,"nm1157527,nm1895993"
tt2005151,nm0680846,"nm0157787,nm0680846,nm1429512,nm0493225"
tt2015381,nm0348181,"nm0348181,nm2270979,nm3966115,nm5037683,nm2757098,nm0317493,nm4160687,nm1921680,nm3053444,nm0314153,nm0562554"
tt2024469,nm1429471,"nm1622147,nm1496753,nm0257513"
tt2024544,nm2588606,"nm0725983,nm1185849"
tt2082197,nm1397301,"nm1397301,nm6215655,nm1821635"
tt2084970,nm0878763,"nm2441699,nm0388132"
tt20850406,nm2380725,"nm2380725,nm13046762,nm13929618,nm12962022,nm4157919,nm5716822,nm8048359"
tt2094766,nm0997291,"nm2078681,nm0177836,nm0171651,nm1172727,nm1817726,nm2493380"
tt2096673,"nm0230032,nm0215455","nm0230032,nm0215455,nm0498834,nm2155757,nm1578335,nm2919995,nm0352778,nm0688132"
tt2103281,nm0716257,"nm0093560,nm0415425,nm0798646,nm0099541"
tt2106476,nm0899121,"nm0899121,nm2105585"
tt2109248,nm0000881,nm0472567
tt2119532,nm0000154,"nm0770938,nm0460795"
tt2126355,nm0679031,"nm0193681,nm1061002,nm0664920"
tt2140203,nm0396074,"nm0396074,nm0645766"
tt2140479,nm0640334,nm4057793
tt2179136,nm0000142,"nm0355699,nm4881574,nm6984200,nm7198520"
tt2184339,nm0218621,nm0218621
tt2194499,nm0193485,nm0193485
tt2209764,nm0002892,nm1438698
tt2229499,nm0330687,nm0330687
tt2234155,nm0506613,"nm0000681,nm2972864"
tt2245084,"nm2320658,nm0930261","nm1471001,nm0047916,nm0314870,nm2185413,nm2400268,nm0745691"
tt2250912,nm1218281,"nm0326246,nm0197855,nm1218281,nm1755986,nm0571344,nm1273099,nm0498278,nm0228492,nm0800209,nm0456158"
tt2267998,nm0000399,nm5058839
tt2277860,"nm0533691,nm0004056","nm0004056,nm0835194"
tt2278388,nm0027572,"nm0959003,nm0027572,nm2450453"
tt2283362,nm0440458,"nm0571344,nm1273099,nm0003298,nm0684374,nm0885575,nm0852430,nm0378144,nm0833164"
tt2283748,nm1084488,"nm12109380,nm5030702,nm2276202,nm12109381,nm1084488"
tt2293640,"nm0049633,nm1853544",nm0528244
tt2294449,"nm0588087,nm0520488","nm0045209,nm3349927,nm0745247,nm1706767,nm0367895,nm0004798"
tt2294629,"nm0118333,nm1601644","nm1601644,nm0026153,nm0118333,nm2280850"
tt2302755,nm0298807,"nm4950667,nm4951717"
tt2310332,nm0001392,"nm0909638,nm0101991,nm0001392,nm0868219,nm0866058"
tt2316204,nm0000631,"nm0639321,nm0795953,nm1438698,nm0338169,nm0517589,nm0363837"
tt2316411,nm0898288,"nm0764832,nm1942197"
tt2321549,nm0448768,nm0448768
tt2322441,nm0853374,"nm0545150,nm1093317"
tt2334873,nm0000095,nm0000095
tt2334879,nm0000386,nm0888743
tt2338151,nm0386246,"nm0386246,nm0430785"
tt2345759,nm0476064,"nm0462895,nm0003160,nm0476378,nm3123612,nm0476064,nm0525886"
tt2356180,nm1018493,nm1149334
tt2361509,nm0583600,nm0583600
tt2377938,nm3109770,nm3109770
tt2379713,nm0005222,"nm0517589,nm0701031,nm0905498,nm0125336,nm0001220"
tt2380307,"nm2937122,nm0881279","nm0881279,nm0441735,nm0017690,nm2937122"
tt2381249,nm0003160,"nm0312367,nm0003160,nm1510800"
tt2381941,"nm0275629,nm0720135","nm0275629,nm0720135"
tt2382320,nm1560977,"nm0701031,nm0905498,nm1560977,nm3564817"
tt2395427,nm0923736,"nm0923736,nm0498278,nm0456158,nm0800209,nm4160687"
tt2397535,"nm1294961,nm1294962","nm1294961,nm1294962,nm0374423"
tt2404435,nm0298807,"nm0000041,nm0368074,nm0644823,nm4446305,nm0921013"
tt2406566,nm0500610,"nm0426500,nm2985952,nm8697009"
tt2446042,nm0576298,"nm0000108,nm0436543"
tt2463208,nm0506613,"nm2267086,nm2385905,nm0280814,nm0505662"
tt2488496,nm0009190,"nm0001410,nm0009190,nm1578335,nm0000184"
tt2527336,nm0426059,"nm0426059,nm0000184"
tt2527338,nm0009190,"nm0006516,nm0009190,nm2081046,nm1119880,nm0000184"
tt2543164,nm0898288,"nm2104063,nm5384213"
tt2543472,nm0154716,"nm0154716,nm0175726,nm2113666,nm5383459"
tt2562232,nm0327944,"nm0327944,nm1481172,nm5409486,nm3174584,nm0142577"
tt2576852,nm0847223,"nm0847223,nm4940865"
tt2582782,nm0533284,nm0792263
tt2582802,nm3227090,nm3227090
tt2582846,nm1837748,"nm2354099,nm2352210,nm1981261"
tt2584384,nm0169806,"nm9862836,nm0169806"
tt2631186,nm1442514,"nm2353436,nm1442514,nm7448575,nm4488268,nm4157919,nm4191232"
tt2637276,nm0532235,"nm0532235,nm1273148,nm1273397"
tt2660888,nm0510912,"nm0670408,nm1136647,nm0734472,nm0649460,nm4259881,nm4260438"
tt2674426,nm4824763,nm4424713
tt2704998,"nm0197855,nm0326246",nm0991423
tt2709768,nm0719208,"nm0666791,nm0202425,nm0528244"
tt2713180,nm0043742,nm0043742
tt2719848,nm0466349,"nm0629933,nm0064479"
tt2737304,nm0081540,"nm2104063,nm4789922"
tt2758880,nm0149196,"nm0946324,nm0149196,nm0155009"
tt2771200,nm0174374,"nm0154716,nm0818746,nm0941314,nm0207305,nm3343855"
tt2788710,"nm0736622,nm1698571","nm1003839,nm0736622,nm1698571"
tt2798920,nm0307497,"nm0307497,nm4554159"
tt2802144,nm0891216,"nm0963359,nm0891216,nm2092839,nm1733301"
tt2820852,nm1490123,"nm0604555,nm0860155"
tt2872718,nm0319659,nm0319659
tt2872732,nm0000108,nm0000108
tt2883512,nm0269463,nm0269463
tt2908446,nm0777881,"nm3929259,nm0326040,nm0093560,nm4316121"
tt2911666,"nm0821432,nm0500610",nm4401003
tt2935510,nm0336695,"nm0336695,nm1342473"
tt2948356,"nm0397174,nm0601781,nm1158544","nm0397174,nm0601781,nm1158544,nm0714114,nm2888684,nm1601882,nm1601644,nm1074879"
tt2948372,"nm5358492,nm0230032","nm0230032,nm0428873,nm5358492"
tt2953050,"nm1158544,nm0397174,nm4146781","nm4146781,nm1158544,nm0397174,nm2911364,nm0472866,nm0592135"
tt2975590,nm0811583,"nm0004170,nm0277730,nm0796950,nm0795975,nm0551376,nm0006516,nm0275286"
tt2980516,nm1016428,"nm0565026,nm6186324"
tt2991224,nm0882203,"nm6313374,nm0882203,nm6313373"
tt3011894,nm1167933,"nm2265326,nm1167933,nm1238855"
tt3040964,nm0269463,"nm1098479,nm0456017"
tt3065204,nm1490123,"nm0370937,nm0370928,nm1490123,nm0424901"
tt3076658,nm3363032,"nm0000230,nm3363032,nm2128400"
tt3079380,nm0082450,nm0082450
tt3110958,nm0160840,"nm0004412,nm1095804,nm0945026,nm3242689"
tt3170832,nm1049433,nm1480980
tt3183660,nm0946734,nm0746830
tt3228774,nm0318916,"nm1401416,nm1110111,nm0112459,nm0545150,nm1587813,nm0807977"
tt3235888,nm1379002,nm1379002
tt3263904,nm0000142,"nm0464548,nm3314810,nm5293055"
tt3281548,nm1950086,"nm1950086,nm0017301"
tt3315342,nm0003506,"nm0003506,nm0291082,nm0338169,nm0739661,nm0859471,nm0918083,nm1079460,nm2092839,nm4022192"
tt3322420,nm2134474,"nm2134474,nm3212517,nm5151578,nm2101751,nm2144007"
tt3385516,nm0001741,"nm1334526,nm0001741,nm1002424,nm0003529,nm0456158,nm0498278"
tt3390572,nm0080235,"nm0000636,nm5470025,nm0080235"
tt3397884,nm0898288,nm0792263
tt3402236,nm0000110,"nm0338169,nm0002005"
tt3417422,nm2572228,nm2572228
tt3450958,nm0716257,"nm0093560,nm0716257,nm0415425,nm0798646,nm0099541"
tt3460252,nm0000233,nm0000233
tt3464902,nm0487166,"nm0487166,nm3328207"
tt3480822,nm0795153,"nm3069408,nm2356614,nm0072600"
tt3498820,"nm0751577,nm0751648","nm1321655,nm1321656,nm0800209,nm0456158,nm2092839,nm4022192"
tt3501632,nm0169806,"nm3069408,nm1219736,nm1236653,nm0498278,nm1293367,nm0456158,nm0657062,nm1277476,nm4160541"
tt3521164,"nm0166256,nm0615780,nm2320658,nm0930261","nm1158544,nm0166256,nm0615780,nm0930261,nm2320658,nm0962596,nm3764118,nm3764493"
tt3532216,nm0510731,nm0818889
tt3553976,nm0743671,nm0743671
tt3606756,nm0083348,nm0083348
tt3612616,nm0230859,nm0230859
tt3659388,nm0000631,"nm1206844,nm1083982"
tt3682448,nm0000229,"nm4131020,nm0001053,nm0001054"
tt3704428,nm0525303,"nm0525303,nm5150018,nm0668902,nm0232442"
tt3731562,nm3611349,"nm0319659,nm1440919,nm2081046,nm0309691,nm0178260,nm0908624"
tt3741834,nm0204628,"nm6506884,nm1729294"
tt3748528,nm2284484,"nm0919363,nm0006904,nm0461306,nm1729428,nm0000184"
tt3778644,nm0000165,"nm0440459,nm0001410,nm0000184"
tt3783958,nm3227090,nm3227090
tt3799694,nm0000948,"nm0000948,nm0046524"
tt3863552,"nm1203138,nm14533834","nm2353436,nm1203138,nm5151578,nm14533834,nm4478309"
tt3890160,nm0942367,nm0942367
tt3896198,nm0348181,"nm0348181,nm3966115,nm5037683,nm1921680,nm3053444,nm4160687,nm0498278,nm1293367,nm0456158,nm2757098,nm0317493,nm0314153,nm0562554"
tt4016934,nm0661791,"nm1258797,nm1941029,nm0661791"
tt4034228,nm0518836,nm0518836
tt4046784,nm1226871,"nm2385905,nm4212895"
tt4123430,nm0946734,nm0746830
tt4154664,"nm1349818,nm0281396","nm1349818,nm0281396,nm4039044,nm2270979,nm0498834"
tt4154756,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt4154796,"nm0751577,nm0751648","nm1321655,nm1321656,nm0498278,nm0456158,nm0800209,nm1921680,nm3053444,nm2757098,nm0317493,nm4160687,nm1293367,nm1411347"
tt4160708,nm1793079,"nm1793079,nm2140186"
tt4169250,"nm3109770,nm14112827","nm3109770,nm4614038,nm2590575,nm3118214,nm4274191"
tt4196776,nm0339030,"nm0339030,nm0002582,nm0524924"
tt4263482,nm3211470,nm3211470
tt4425200,nm0821432,nm4401003
tt4430212,nm1723225,"nm2572228,nm3179723"
tt4513678,nm0718646,"nm1481493,nm0718646,nm0000101,nm0718645,nm0000601"
tt4550098,nm1053530,"nm1053530,nm7216022"
tt4555426,nm0942504,nm0565026
tt4630562,nm0336620,"nm0860155,nm0604555"
tt4633694,"nm2130108,nm0709056,nm0745247","nm0520488,nm0745247"
tt4635372,nm4784536,"nm10931380,nm10931379,nm10931381,nm1479356,nm3542598,nm3620830"
tt4649466,nm0891216,"nm0963359,nm0891216,nm2092839,nm1733301"
tt4729430,"nm0655053,nm3582089","nm0655053,nm2700235,nm2082813"
tt4779682,nm0005509,"nm1212988,nm0388377,nm0388375,nm0022709"
tt4846340,nm0577647,"nm2284377,nm0577647,nm7446421"
tt4849438,nm1442514,"nm2353436,nm1442514,nm7448575,nm4488268,nm4157919,nm4191232,nm1523325"
tt4857264,nm1079062,"nm1079062,nm1516346"
tt4881806,nm1291105,"nm2081046,nm1119880,nm0000341"
tt4912910,nm0003160,"nm0312367,nm0003160"
tt4925292,nm1950086,nm1950086
tt4934950,nm1126068,"nm0080235,nm2870301"
tt4972582,nm0796117,nm0796117
tt4975722,nm1503575,"nm1503575,nm4144120"
tt5013056,nm0634240,nm0634240
tt5027774,nm1732981,nm1732981
tt5034838,nm1417392,"nm0744429,nm1002424,nm1296461,nm3069408,nm1440919"
tt5052448,nm1443502,nm1443502
tt5074352,nm4318159,"nm6328029,nm6328031,nm6328030,nm8661566,nm4318159"
tt5083738,nm0487166,"nm7629302,nm1110111"
tt5095030,nm0715636,"nm0571344,nm1273099,nm0748620,nm3029372,nm2592245,nm0498278,nm1293367,nm0456158"
tt5109784,nm0004716,nm0004716
tt5164214,nm0002657,"nm0002657,nm6035700,nm0425138,nm0751207"
tt5198068,"nm1119079,nm2075487","nm3822528,nm1119079,nm2075487,nm0165995"
tt5311514,nm1396121,"nm1396121,nm1038805"
tt5323662,nm2210720,"nm7835741,nm1027089,nm2116827"
tt5362988,nm0792263,nm0792263
tt5442430,nm1174251,"nm1014201,nm1116660"
tt5463162,nm0500610,"nm1014201,nm1116660,nm0005351,nm0509580,nm1436760"
tt5519340,nm0043742,nm0484840
tt5537002,nm0000217,"nm0744839,nm0000217,nm2970418"
tt5571734,nm2287772,"nm1999473,nm2287772,nm1937760"
tt5580036,nm0318916,nm0737216
tt5580390,nm0868219,"nm0868219,nm0961827"
tt5606664,nm1093039,"nm1093039,nm0000175"
tt5700672,nm3613566,"nm6711056,nm3613566"
